taxonId;taxaGroup;scientificName;vernacularName;family;taxonLabel;ndffIdentity;threatStatus;occurenceStatus;taxaSubgroup;isAcceptedName;scientificNameAuthorship;updated
8308;V;Nothofagus antarctica;Antarctische schijnbeuk;Nothofagaceae;8308;http://ndff-ecogrid.nl/taxonomy/taxa/nothofagusantarctica;;zzz;S;0;(G. Forst.) Oerst.;01/24/2025 10:12:26
8309;V;Oenothera perennis;Dwergteunisbloem;Onagraceae;8309;http://ndff-ecogrid.nl/taxonomy/taxa/oenotheraperennis;;zzz;S;0;L.;01/24/2025 10:12:26
8310;V;Oenothera speciosa;Witte teunisbloem;Onagraceae;8310;http://ndff-ecogrid.nl/taxonomy/taxa/oenotheraspeciosa;;zzz;S;0;Nutt.;01/24/2025 10:12:26
8311;V;Ornithogalum balansae;Breedbladige vogelmelk;Asparagaceae;8311;http://ndff-ecogrid.nl/taxonomy/taxa/ornithogalumbalansae;;zz;E;0;Boiss.;01/24/2025 10:12:26
8312;V;Osteospermum ecklonis;;Asteraceae;8312;http://ndff-ecogrid.nl/taxonomy/taxa/osteospermumecklonis;;zzz;S;0;(DC.) Norl.;08/22/2022 12:21:30
8313;V;Ostrya carpinifolia;Europese hopbeuk;Betulaceae;8313;http://ndff-ecogrid.nl/taxonomy/taxa/ostryacarpinifolia;;zz;S;-1;Scop.;01/24/2025 10:12:26
8314;V;Oxalis purpurea;Rode klaverzuring;Oxalidaceae;8314;http://ndff-ecogrid.nl/taxonomy/taxa/oxalispurpurea;;zzz;S;0;L.;01/24/2025 10:12:26
8315;V;Oxalis tetraphylla;Geluksklaver;Oxalidaceae;8315;http://ndff-ecogrid.nl/taxonomy/taxa/oxalistetraphylla;;zz;S;0;Cav.;08/22/2022 12:21:30
8316;V;Oxalis triangularis;;Oxalidaceae;8316;http://ndff-ecogrid.nl/taxonomy/taxa/oxalistriangularis;;zz;S;0;A. St.-Hil.;09/15/2022 22:26:10
8317;V;Parapholis incurva;Kromstaart;Poaceae;8317;http://ndff-ecogrid.nl/taxonomy/taxa/parapholisincurva;;;E;0;(L.) C.E. Hubb.;08/22/2022 12:21:30
8318;V;Cenchrus flaccidus;Slank lampenpoetsergras;Poaceae;8318;http://ndff-ecogrid.nl/taxonomy/taxa/cenchrusflaccidus;;zzz;E;-1;(Griseb.) Morrone;08/22/2022 12:21:30
8319;V;Perovskia atriplicifolia;Russische salie;Lamiaceae;8319;http://ndff-ecogrid.nl/taxonomy/taxa/perovskiaatriplicifolia;;zzz;S;0;Benth.;08/22/2022 12:21:30
8320;V;Persicaria orientalis;Oosterse duizendknoop;Polygonaceae;8320;http://ndff-ecogrid.nl/taxonomy/taxa/persicariaorientalis;;zzz;S;0;(L.) Spach;01/24/2025 10:12:26
